#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"105,254.45",-0.10,-0.14,-3.62,"2,091,803,157,700.31",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,873,775. The last known price of Bitcoin is 105,458.49746583 USD and is up 0.10 over the last 24 hours. It is currently trading on 12207 active market(s) with $47,096,772,971.53 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,610.30",0.10,4.01,0.90,"315,123,774,842.78",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,723,346.74110719. The last known price of Ethereum is 2,620.60056202 USD and is up 4.63 over the last 24 hours. It is currently trading on 10322 active market(s) with $19,096,799,839.07 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,0.02,0.00,0.02,"153,372,840,727.29",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,039,796.70285824 with 153,312,689,046.46141889 in circulation. The last known price of Tether USDt is 1.00048319 USD and is up 0.01 over the last 24 hours. It is currently trading on 131358 active market(s) with $71,930,856,164.91 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.19,-0.37,0.81,-4.37,"128,970,473,997.35",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,084,900 with 58,759,724,027 in circulation. The last known price of XRP is 2.20176905 USD and is up 1.39 over the last 24 hours. It is currently trading on 1621 active market(s) with $2,208,523,903.13 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,666.37,-0.06,1.13,-1.86,"93,883,852,512.06",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,471.49. The last known price of BNB is 667.14639881 USD and is up 1.30 over the last 24 hours. It is currently trading on 2562 active market(s) with $1,740,769,449.22 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,159.64,0.22,2.01,-8.48,"83,400,090,246.65",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,119,289.1901429 with 522,413,841.3229237 in circulation. The last known price of Solana is 160.19173388 USD and is up 2.45 over the last 24 hours. It is currently trading on 930 active market(s) with $3,541,440,999.32 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,0.00,-0.01,-0.00,"61,110,103,088.65",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2025and operates on the Ethereum platform. USDC has a current supply of 61,118,203,679.0636815. The last known price of USDC is 0.9998388 USD and is up -0.00 over the last 24 hours. It is currently trading on 28417 active market(s) with $11,156,360,090.73 traded over the last 24 hours. More information can be found at https://bit.ly/3ZHzkIY.",2018-10-08,https://bit.ly/3ZHzkIY,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.20,-0.07,1.37,-13.44,"29,265,892,252.88",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,528,566,383.70521. The last known price of Dogecoin is 0.19630672 USD and is up 1.88 over the last 24 hours. It is currently trading on 1232 active market(s) with $1,134,154,987.39 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.27,0.00,-0.07,-2.24,"25,655,982,611.15",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,862,807,593.866118 with 94,862,794,961.590918 in circulation. The last known price of TRON is 0.27028159 USD and is down -0.11 over the last 24 hours. It is currently trading on 1183 active market(s) with $467,959,685.27 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.70,0.23,1.96,-8.35,"24,617,496,999.34",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.69827872 USD and is up 2.44 over the last 24 hours. It is currently trading on 1528 active market(s) with $580,091,991.41 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
